Country,Scale,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After,,,,,,,,,,,,
Australia,Millions,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.383,24.771,25.182,25.6,2017,,,,,,,,,,,,
Belgium,Millions,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.411,11.47,2017,,,,,,,,,,,,
Canada,Millions,33.199,33.581,33.959,34.302,34.697,35.099,35.487,35.804,36.205,36.657,37.098,37.455,2017,,,,,,,,,,,,
China,Millions,1328.02,1334.5,1340.91,1347.35,1354.04,1360.72,1367.82,1374.62,1382.71,1390.08,1396.982,1403.391,2017,,,,,,,,,,,,
Denmark,Millions,5.476,5.511,5.535,5.561,5.581,5.603,5.627,5.66,5.707,5.749,5.793,5.837,2017,,,,,,,,,,,,
Finland,Millions,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.524,5.543,2017,,,,,,,,,,,,
France,Millions,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.558,64.801,65.098,65.396,2017,,,,,,,,,,,,
Germany,Millions,80.764,80.483,80.285,80.276,80.427,80.647,80.983,81.687,82.349,82.66,82.786,82.852,2017,,,,,,,,,,,,
Hong Kong SAR,Millions,6.964,6.996,7.052,7.11,7.171,7.211,7.253,7.31,7.377,7.41,7.471,7.532,2017,,,,,,,,,,,,
Ireland,Millions,4.516,4.547,4.568,4.585,4.605,4.631,4.667,4.714,4.771,4.825,4.873,4.922,2017,,,,,,,,,,,,
Italy,Millions,59.034,59.449,59.707,59.952,60.168,60.51,60.783,60.796,60.666,60.589,60.756,60.74,2017,,,,,,,,,,,,
Japan,Millions,127.692,127.551,127.594,127.831,127.552,127.333,127.12,126.978,126.96,126.746,126.431,126.045,2017,,,,,,,,,,,,
Korea,Millions,49.055,49.308,49.554,49.937,50.2,50.429,50.747,51.015,51.246,51.454,51.663,51.874,2017,,,,,,,,,,,,
Netherlands,Millions,16.446,16.53,16.615,16.693,16.755,16.804,16.865,16.937,17.03,17.14,17.19,17.24,2017,,,,,,,,,,,,
Singapore,Millions,4.839,4.988,5.077,5.184,5.312,5.399,5.47,5.535,5.607,5.612,5.661,5.71,2017,,,,,,,,,,,,
Sweden,Millions,9.256,9.341,9.416,9.483,9.556,9.645,9.747,9.851,9.995,10.12,10.297,10.404,2017,,,,,,,,,,,,
Switzerland,Millions,7.593,7.702,7.786,7.87,7.955,8.039,8.14,8.238,8.327,8.42,8.484,8.586,2017,,,,,,,,,,,,
Turkey,Millions,71.517,72.561,73.723,74.724,75.627,76.668,77.696,78.741,79.815,80.811,81.867,82.884,2017,,,,,,,,,,,,
United Kingdom,Millions,61.824,62.261,62.76,63.285,63.705,64.106,64.597,65.11,65.648,66.04,66.466,66.845,2017,,,,,,,,,,,,
United States of America,Millions,304.718,307.374,309.749,312.003,314.28,316.504,318.853,321.224,323.572,325.886,328.116,330.186,2017,,,,,,,,,,,,